mem_abismal	mem_bismark	mem_bsmap	mem_bwa	mem_hisat_3n	mem_walt
Brocks_hg38	3532.73	78537.89	8571.98	16303.12	8067.25	14702.66
Dunaway_hg38	4420.75	78535.55	8575.45	24977.04	8067.37	14704.08
Manakov_mm10	3168.84	70200.23	7769.58	20830.48	7285.52	12933.95
Passaro_mm10	3900.95	70189.11	7867.72	13234.64	7281.25	12938.65
Mendoza_danre11	2404.29	44061.98	5530.75	14666.04	4656.86	8045.46
Zhang_galgal6	1526.09	29034.88	4163.31	7282.41	2967.39	5188.73
Shahryary_tair10	259.9	3741.72	1795.46	3729.79	421.29	694.43
Bernstein_hg38	3526.8	78722.72	9241.25	37226.56	8268.94	18389.11
Tycko_hg38	3526.52	78938.27	9568.45	14383.64	8241.36	16177.68
Roadmap_hg38	3526.72	78713.76	9188.17	35781.52	8235.31	18351.79
Meissner_hg38	4419.88	78716.66	9230.38	35548.63	8213.34	18358.98
Low_mm10	3168.83	70375.71	8341.63	18768.67	7467.93	14675.46
Yamada_mm10	3900.96	70371.41	8432.15	17465.43	7484.11	14750.53
Decato_mm10	3167.89	70343.59	8321.64	18308.51	7409.49	14315.04
Baubec_mm10	3168.57	70397.5	8538.69	19869.93	7536.28	14388.79
Kamstra_danre11	1979.08	44513.02	6507.88	11846.39	4854.08	8155.95
Skvortsova_danre11	1979.43	44505.31	6437.41	11986.47	4881.02	8156.36
Lee_galgal6	1527.36	29256.02	4818.17	8691.42	3133.4	6443.34
Yong_tair10	268.02	3882.39	2092.3	4557.29	508.3	774.73
Miura-1_hg38	3525.86	65893.92	9048.98	NA	NA	NA
Bian_hg38	4419.88	66162.98	9315.57	NA	NA	NA
Miura-2_hg38	4421.59	66151.91	9438.22	NA	NA	NA
Leng_hg38	4420.61	65943.11	9322.48	NA	NA	NA
Guo_hg38	3526.61	65946.17	9163.04	NA	NA	NA
