time_abismal	time_bismark	time_bsmap	time_walt	mem_abismal	mem_bismark	mem_bsmap	mem_walt
Ciernia_hg38	3229.5134	18247.8934	12958.8687	6225.9265	7453.34	78498.37	8533.7	15104.69
Manakov_mm10	4347.5776	35477.3978	9113.604	8578.0778	6734.1	70217.6	7771.32	13326.09
Mendoza_danre11	1326.8178	17484.4588	2305.3133	3133.8744	4376.37	44103.54	5527.15	8433.23
Zhang_galgal6	959.8176	13789.4975	1344.2646	1985.4932	2936.11	29067.64	4124.92	5654.37
Shahryary_tair10	272.952	7948.2788	270.0428	666.4666	717.02	3795.71	1794.9	1209.41
Bernstein_hg38	8037.7733	49410.9909	27778.0538	112356.7168	7741.14	78716.51	9203.61	17150.65
Encode_hg38	5187.2303	36241.127	24421.7744	65623.7769	7765.84	78793.04	9500.37	17403.84
Decato_mm10	3978.3643	35419.3434	6350.5706	67993.0566	6990.74	70411.12	8329.63	15382.4
Molaro_mm10	2681.2356	29246.0962	7569.9773	64780.0633	6983.25	70419.8	8309.14	15423.55
Wade_mm10	1623.63	10291.3832	5817.781	9632.8048	7043.04	70466.15	8743.11	15450.62
Kamstra_danre11	3853.4479	38479.9298	9867.1518	6579.3264	4663.62	44572.58	6445.07	10803.82
Lee_galgal6	693.298	12277.827	1955.7375	2099.9134	3207.96	29306.82	4808.5	7688.95
Yong_tair10	116.2323	3618.5803	110.2844	419.5716	922.36	4383.32	2063.39	3056.82
Low_mm10	6155.509	71729.4279	7757.7844	124818.1531	6994.92	70419.11	8365.99	15397.23
Meissner_hg38	7494.9537	51568.2349	16642.1139	134659.0878	7738.24	78741.58	9199.77	17127.23
Miura_1_hg38	1963.9446	9456.0274	17208.3138	44388.398	7701.16	75581.88	9048.49	16344.04
Bian_hg38	2704.4636	6876.6664	18323.1042	13360.4114	7727.98	84961.37	9302.89	16689.13
Miura_2_hg38	9118.7347	25701.624	92684.3797	61178.7479	7776.97	87196.06	9407.31	17393.89
Leng_hg38	4960.569	20953.3311	34290.6978	44026.0058	7741.75	82570.98	9252.28	17058.09
Guo_hg38	6917.8928	16398.3734	47016.6292	56707.832	7707.17	87377.71	9161.16	17222.96
